capital,"100,000",,,,,,,,
,,,,,,,,,
date,Close,220 SMA,230 SMA,Signal ,Entry/Exit point,Position,Cash,,Buy&Hold
6/16/2016,191.6599,184.4540623,184.6914987,0,0,0,100000,,526.7141517
6/17/2016,190.9502,184.4611323,184.6886622,0,0,0,100000,,526.7141517
6/20/2016,192.1799,184.4705836,184.6930213,0,0,0,100000,,526.7141517
6/21/2016,192.7254,184.4897118,184.7042761,0,0,0,100000,,526.7141517
6/22/2016,192.4111,184.50918,184.7228191,0,0,0,100000,,526.7141517
6/23/2016,194.9167,184.5288918,184.756977,0,0,0,100000,,526.7141517
6/24/2016,187.8158,184.5244291,184.7501509,0,0,0,100000,,526.7141517
6/27/2016,184.5519,184.5040609,184.7233904,0,0,0,100000,,526.7141517
6/28/2016,187.8802,184.4997264,184.7109043,0,0,0,100000,,526.7141517
6/29/2016,191.0796,184.50722,184.7137839,0,0,0,100000,,526.7141517
6/30/2016,193.6824,184.5216091,184.7308126,0,0,0,100000,,526.7141517
7/1/2016,194.0946,184.5404627,184.7512465,0,0,0,100000,,526.7141517
7/5/2016,192.6977,184.5597532,184.7625383,0,0,0,100000,,526.7141517
7/6/2016,193.8534,184.6018582,184.7857391,0,0,0,100000,,526.7141517
7/7/2016,193.7295,184.6696395,184.810093,0,0,0,100000,,526.7141517
7/8/2016,196.618,184.7837818,184.8363448,0,0,0,100000,,526.7141517
7/11/2016,197.3115,184.9106177,184.8733617,1,1,506.8128315,0,,526.7141517
7/12/2016,198.7446,185.0133277,184.9155865,1,0,506.8128315,0,,526.7141517
7/13/2016,198.7169,185.0974864,184.9585565,1,0,506.8128315,0,,526.7141517
7/14/2016,199.8264,185.1863595,185.0037539,1,0,506.8128315,0,,526.7141517
7/15/2016,199.5583,185.2810055,185.0430648,1,0,506.8128315,0,,526.7141517
7/18/2016,200.0938,185.4018164,185.0871822,1,0,506.8128315,0,,526.7141517
7/19/2016,199.8911,185.5067355,185.1369096,1,0,506.8128315,0,,526.7141517
