Date,Bullish,Neutral,Bearish,Bull 8 wk mov avg,Bull 16 wk mov avg,Bear 8 wk mov avg,Bear 16 wk mov avg,Neutral 8 wk mov avg,Neutral 16 wk mov avg,Bull-Bear Spread,Close,Close in 4 wks,Close in 8 wks
2-9-17,0.36,0.37,0.28,0.40,0.31,0.29,0.29,0.31,0.31,0.08,2294.67,2362.98,2352.95
2-16-17,0.33,0.35,0.32,0.38,0.31,0.30,0.29,0.32,0.31,0.01,2347.22,2385.26,2344.93
2-23-17,0.38,0.29,0.32,0.37,0.30,0.31,0.29,0.32,0.30,0.06,2362.82,2348.45,2338.17
3-2-17,0.38,0.26,0.36,0.36,0.30,0.32,0.29,0.32,0.30,0.02,2395.96,2361.13,2387.45
3-9-17,0.30,0.24,0.47,0.35,0.30,0.34,0.30,0.31,0.30,-0.17,2362.98,2352.95,2388.13
3-16-17,0.31,0.30,0.39,0.34,0.30,0.35,0.32,0.31,0.30,-0.08,2385.26,2344.93,2399.63
3-23-17,0.35,0.34,0.31,0.34,0.30,0.35,0.32,0.31,0.30,0.05,2348.45,2338.17,2357.03
3-30-17,0.30,0.32,0.37,0.34,0.30,0.35,0.33,0.31,0.30,-0.07,2361.13,2387.45,2404.39
4-6-17,0.28,0.32,0.40,0.33,0.31,0.37,0.33,0.30,0.31,-0.11,2352.95,2388.13,2411.80
4-13-17,0.29,0.34,0.37,0.33,0.31,0.37,0.34,0.30,0.31,-0.08,2344.93,2399.63,2433.14
4-20-17,0.26,0.36,0.39,0.31,0.32,0.38,0.34,0.31,0.32,-0.13,2338.17,2357.03,2437.92
4-27-17,0.38,0.30,0.32,0.31,0.32,0.38,0.35,0.31,0.32,0.06,2387.45,2404.39,2435.61
5-4-17,0.38,0.32,0.30,0.32,0.32,0.35,0.35,0.33,0.32,0.08,2388.13,2411.80,2440.69
5-11-17,0.33,0.37,0.30,0.32,0.32,0.34,0.35,0.33,0.32,0.03,2399.63,2433.14,2432.54
5-18-17,0.24,0.42,0.34,0.31,0.33,0.35,0.35,0.34,0.33,-0.10,2357.03,2437.92,2443.25
5-25-17,0.33,0.37,0.30,0.31,0.33,0.34,0.35,0.35,0.33,0.03,2404.39,2435.61,2473.83
6-1-17,0.27,0.42,0.32,0.31,0.33,0.33,0.35,0.36,0.33,-0.05,2411.80,2440.69,2477.83
6-8-17,0.35,0.35,0.30,0.32,0.33,0.32,0.35,0.36,0.33,0.06,2433.14,2432.54,2477.57
6-15-17,0.32,0.38,0.29,0.33,0.34,0.31,0.34,0.37,0.34,0.03,2437.92,2443.25,2474.02
6-22-17,0.33,0.38,0.29,0.32,0.35,0.30,0.34,0.38,0.35,0.04,2435.61,2473.83,2468.11
6-29-17,0.30,0.43,0.27,0.31,0.36,0.30,0.33,0.39,0.36,0.03,2440.69,2477.83,2444.04
7-6-17,0.30,0.41,0.30,0.30,0.36,0.30,0.32,0.40,0.36,0.00,2432.54,2477.57,2457.59
7-13-17,0.28,0.42,0.30,0.31,0.37,0.29,0.32,0.40,0.37,-0.01,2443.25,2474.02,2465.54
7-20-17,0.35,0.39,0.26,0.31,0.37,0.29,0.31,0.40,0.37,0.10,2473.83,2468.11,2498.37
7-27-17,0.34,0.41,0.24,0.32,0.38,0.28,0.31,0.40,0.38,0.10,2477.83,2444.04,2508.24
8-3-17,0.36,0.32,0.32,0.32,0.38,0.28,0.30,0.39,0.38,0.04,2477.57,2457.59,2507.04
8-10-17,0.34,0.34,0.32,0.32,0.38,0.29,0.30,0.39,0.38,0.01,2474.02,2465.54,2537.74
8-17-17,0.34,0.33,0.33,0.33,0.38,0.29,0.30,0.38,0.38,0.01,2468.11,2498.37,2555.24
8-24-17,0.28,0.34,0.38,0.32,0.38,0.31,0.30,0.37,0.38,-0.10,2444.04,2508.24,2561.26
8-31-17,0.25,0.35,0.40,0.32,0.38,0.32,0.31,0.36,0.38,-0.15,2457.59,2507.04,2557.15
9-7-17,0.29,0.35,0.36,0.32,0.37,0.33,0.31,0.35,0.37,-0.06,2465.54,2537.74,2579.36
9-14-17,0.41,0.37,0.22,0.33,0.37,0.32,0.31,0.35,0.37,0.19,2498.37,2555.24,2594.38
9-21-17,0.40,0.33,0.27,0.33,0.37,0.33,0.30,0.34,0.37,0.13,2508.24,2561.26,2564.62
9-28-17,0.33,0.38,0.29,0.33,0.37,0.32,0.30,0.35,0.37,0.05,2507.04,2557.15,2602.42
