Date,Monthly Close
07/01/03,990.31
08/01/03,1008.01
09/02/03,995.97
10/01/03,1050.71
11/03/03,1058.20
12/01/03,1111.92
01/02/04,1131.13
02/02/04,1144.94
03/01/04,1126.21
04/01/04,1107.30
05/03/04,1120.68
06/01/04,1140.84
07/01/04,1101.72
08/02/04,1104.24
09/01/04,1114.58
10/01/04,1130.20
11/01/04,1173.82
12/01/04,1211.92
01/03/05,1181.27
02/01/05,1203.60
03/01/05,1180.59
04/01/05,1156.85
05/02/05,1191.50
06/01/05,1191.33
07/01/05,1234.18
08/01/05,1220.33
09/01/05,1228.81
10/03/05,1207.01
11/01/05,1249.48
12/01/05,1248.29
01/03/06,1280.08
02/01/06,1280.66
03/01/06,1294.87
04/03/06,1310.61
05/01/06,1270.09
06/01/06,1270.20
07/03/06,1276.66
08/01/06,1303.82
09/01/06,1335.85
10/02/06,1377.94
11/01/06,1400.63
12/01/06,1418.30
01/03/07,1438.24
02/01/07,1406.82
03/01/07,1420.86
04/02/07,1482.37
05/01/07,1530.62
06/01/07,1503.35
07/02/07,1455.27
08/01/07,1473.99
09/04/07,1526.75
10/01/07,1549.38
11/01/07,1481.14
12/03/07,1468.36
01/02/08,1378.55
02/01/08,1330.63
03/03/08,1322.70
04/01/08,1385.59
05/01/08,1400.38
06/02/08,1280.00
07/01/08,1267.38
08/01/08,1282.83
09/02/08,1164.74
10/01/08,968.75
11/03/08,896.24
12/01/08,903.25
01/02/09,825.88
02/01/09,735.09
03/03/09,797.87
04/01/09,872.81
05/01/09,919.14
06/02/09,919.32
07/01/09,987.48
08/01/09,1020.62
09/02/09,1057.08
10/01/09,1036.19
11/03/09,1095.63
12/01/09,1115.10
01/02/10,1073.87
02/01/10,1104.49
03/01/10,1169.43
04/01/10,1186.69
05/01/10,1089.41
06/01/10,1030.71
07/01/10,1101.60
08/01/10,1049.33
09/01/10,1141.20
10/01/10,1183.26
11/01/10,1180.55
12/01/10,1257.64
01/01/11,1286.12
02/11/11,1327.22
03/01/11,1325.83
04/01/11,1363.61
05/01/11,1345.20
06/01/11,1320.64
07/01/11,1292.28
08/01/11,1218.89
09/01/11,1131.42
10/01/11,1253.30
11/01/11,1246.96
12/01/11,1263.02
01/01/12,1313.00
02/01/12,1367.00
03/12/12,1414.00
04/12/12,1397.91
05/01/12,1310.33
06/01/12,1362.16
07/01/12,1379.32
08/01/12,1406.58
09/01/12,1440.67
10/12/12,1412.16
11/12/12,1416.18
12/12/12,1426.19
01/01/13,1498.11
02/01/13,1514.68
03/01/13,1569.19
04/01/13,1597.59
05/01/13,1630.74
06/01/13,1606.28
07/01/13,1685.73
08/01/13,1632.97
09/30/13,1681.55
10/30/13,1756.54
11/29/13,1805.81
12/31/13,1848.36
01/31/14,1782.59
02/28/14,1859.45
03/31/14,1872.34
04/30/14,1883.95
05/30/14,1923.57
06/30/14,1960.23
07/31/14,1930.67
08/29/14,2003.37
09/30/14,1972.29
10/31/14,2018.05
11/28/14,2067.56
12/31/14,2058.90
01/30/15,1994.99
02/27/15,2104.50
03/31/15,2067.89
04/30/15,2085.51
05/29/15,2107.39
06/30/15,2063.11
07/31/15,2103.84
08/31/15,1972.18
09/30/15,1920.03
10/30/15,2079.36
11/30/15,2080.41
12/31/15,2043.94
01/29/16,1940.24
02/29/16,1932.23
03/31/16,2059.74
04/29/16,2065.30
05/31/16,2096.95
06/30/16,2098.86
07/29/16,2173.60
08/31/16,2170.95
09/30/16,2168.27
10/31/16,2126.15
