Date,Bull-Bear Spread,Close,SMA Signal,SMA1,SMA40,Sell Signals,Buy/Sell SMA,Buy Signals
2/27/2014,0.19,1845.16,0,1845.16,1731.59925,0,0,0
3/6/2014,0.14,1873.81,0,1873.81,1737.2355,0,0,0
3/13/2014,0.15,1868.2,0,1868.2,1743.718,0,0,0
3/20/2014,0.11,1860.77,0,1860.77,1749.92425,0,0,0
3/27/2014,0.03,1852.56,0,1852.56,1755.515,0,0,0
4/3/2014,0.09,1890.9,0,1890.9,1762.706,0,0,0
4/10/2014,-0.06,1872.18,0,1872.18,1768.71325,0,0,0
4/17/2014,-0.07,1862.31,0,1862.31,1773.9555,0,0,0
4/24/2014,0.08,1875.39,0,1875.39,1778.8175,0,0,0
5/1/2014,0,1883.95,0,1883.95,1783.76775,0,0,0
5/8/2014,0,1878.21,0,1878.21,1788.57975,0,0,0
5/15/2014,0.11,1888.53,0,1888.53,1793.52025,0,0,0
5/22/2014,0.04,1888.03,0,1888.03,1798.58625,0,0,0
5/29/2014,0.13,1909.78,0,1909.78,1805.26075,0,0,0
6/5/2014,0.17,1927.88,0,1927.88,1812.58375,0,0,0
6/12/2014,0.23,1943.89,0,1943.89,1819.854,0,0,0
6/19/2014,0.11,1956.98,0,1956.98,1826.55025,0,0,0
6/26/2014,0.16,1959.53,0,1959.53,1832.4005,0,0,0
7/3/2014,0.16,1974.62,0,1974.62,1839.44675,0,0,0
7/10/2014,0.09,1972.83,0,1972.83,1846.42075,0,0,0
7/17/2014,0.04,1981.57,0,1981.57,1854.55,0,0,0
7/24/2014,0,1987.01,0,1987.01,1861.18675,0,0,0
7/31/2014,0,1970.07,0,1970.07,1866.779,0,0,0
8/7/2014,-0.07,1920.24,0,1920.24,1870.70225,0,0,0
8/14/2014,0.13,1946.72,0,1946.72,1875.108,0,0,0
8/21/2014,0.22,1986.51,0,1986.51,1880.22075,0,0,0
8/28/2014,0.33,2000.12,0,2000.12,1885.6895,0,0,0
9/4/2014,0.21,2000.72,0,2000.72,1890.52675,0,0,0
9/11/2014,0.14,1995.69,0,1995.69,1895.59875,0,0,0
9/18/2014,0.19,2001.57,0,2001.57,1901.0825,0,0,0
9/25/2014,0.14,1998.3,0,1998.3,1905.77375,0,0,0
10/2/2014,0.05,1946.16,0,1946.16,1908.59475,0,0,0
10/9/2014,0.09,1968.89,0,1968.89,1911.608,0,0,0
10/16/2014,0.09,1862.49,0,1862.49,1912.233,0,0,0
10/23/2014,0.27,1927.11,0,1927.11,1914.20125,0,0,0
10/30/2014,0.28,1982.3,0,1982.3,1917.63725,0,0,0
11/6/2014,0.38,2023.57,0,2023.57,1922.105,0,0,0
11/13/2014,0.39,2038.25,0,2038.25,1929.27025,0,0,0
11/20/2014,0.25,2048.72,0,2048.72,1935.00675,0,0,0
11/27/2014,0.31,2067.56,0,2067.56,1940.977,0,0,0
12/4/2014,0.17,2074.33,0,2074.33,1946.70625,0,0,0
12/11/2014,0.23,2026.14,0,2026.14,1950.5145,0,0,0
12/18/2014,0.12,2012.89,0,2012.89,1954.13175,0,0,0
12/25/2014,0.32,2090.57,0,2090.57,1959.87675,0,0,0
1/1/2015,0.32,2020.58,0,2020.58,1964.07725,0,0,0
1/8/2015,0.13,2025.9,0,2025.9,1967.45225,0,0,0
1/15/2015,0.25,2011.27,0,2011.27,1970.9295,0,0,0
1/22/2015,0.06,2032.12,0,2032.12,1975.17475,0,0,0
1/29/2015,0.22,2002.16,0,2002.16,1978.344,0,0,0
2/5/2015,0.03,2050.03,0,2050.03,1982.496,0,0,0
2/12/2015,0.2,2068.53,0,2068.53,1987.254,0,0,0
2/19/2015,0.29,2099.68,0,2099.68,1992.53275,0,0,0
2/26/2015,0.25,2113.86,0,2113.86,1998.1785,0,0,0
3/5/2015,0.16,2098.53,0,2098.53,2002.89725,0,0,0
3/12/2015,0.06,2040.24,0,2040.24,2005.70625,0,0,0
3/19/2015,-0.04,2099.5,0,2099.5,2009.5965,0,0,0
3/26/2015,0.14,2061.05,0,2061.05,2012.19825,0,0,0
4/2/2015,0.03,2059.69,0,2059.69,2014.70225,0,0,0
4/9/2015,0.05,2081.9,0,2081.9,2017.38425,0,0,0
4/16/2015,0.09,2106.63,0,2106.63,2020.72925,0,0,0
4/23/2015,0.08,2107.96,0,2107.96,2023.889,0,0,0
4/30/2015,0.09,2106.85,0,2106.85,2026.885,0,0,0
5/7/2015,0,2080.15,0,2080.15,2029.637,0,0,0
5/14/2015,0,2098.48,0,2098.48,2034.093,0,0,0
5/21/2015,0,2125.85,0,2125.85,2038.57125,0,0,0
5/28/2015,0.02,2123.48,0,2123.48,2041.9955,0,0,0
6/4/2015,0.03,2114.07,0,2114.07,2044.84425,0,0,0
6/11/2015,-0.13,2105.2,0,2105.2,2047.45625,0,0,0
6/18/2015,-0.09,2100.44,0,2100.44,2050.075,0,0,0
6/25/2015,0.14,2108.58,0,2108.58,2052.75025,0,0,0
7/2/2015,-0.12,2077.42,0,2077.42,2054.72825,0,0,0
7/9/2015,-0.01,2046.68,0,2046.68,2057.24125,0,0,0
7/16/2015,0.08,2107.4,0,2107.4,2060.704,0,0,0
7/23/2015,0.07,2114.15,0,2114.15,2066.9955,0,0,0
7/30/2015,-0.2,2108.57,0,2108.57,2071.532,0,0,0
8/6/2015,-0.07,2099.84,0,2099.84,2074.4705,0,0,0
8/13/2015,-0.06,2086.05,0,2086.05,2076.0325,0,0,0
8/20/2015,-0.07,2079.61,0,2079.61,2077.0665,0,0,0
8/27/2015,-0.06,1940.51,0,1940.51,2074.36125,0,0,0
9/3/2015,0.01,1948.86,0,1948.86,2071.39375,0,0,0
9/10/2015,0,1942.04,0,1942.04,2068.0865,0,0,0
9/17/2015,0.04,1995.31,0,1995.31,2067.31575,0,0,0
9/24/2015,0.03,1966.97,0,1966.97,2066.16775,0,0,0
10/1/2015,-0.12,1884.09,0,1884.09,2061.00575,0,0,0
